,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
1670,2,12,2014,0.038439,0.047178,0.047998,0.049293,0.062231,0.069797,0.082658,0.077368,2.115508,0.540836,0.990753,0.779845,0.454417,0.144233,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-02
1671,3,12,2014,0.0758,0.080242,0.079577,0.08141,0.098601,0.105669,0.122029,0.12124,2.832454,0.444588,0.749135,0.612206,0.401574,0.508899,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-03
1672,4,12,2014,0.037058,0.050765,0.056003,0.070611,0.10822,0.128936,0.157411,0.173733,3.062782,1.242479,1.37748,1.409689,1.194777,1.181233,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-04
1673,6,12,2014,0.02057,0.050926,0.064057,0.091752,0.152511,0.186827,0.234579,0.253777,2.329819,1.533252,1.594484,1.656018,1.502572,1.150173,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-06
1674,7,12,2014,0.023752,0.052291,0.064637,0.092814,0.151877,0.182653,0.226524,0.233458,2.345297,1.518051,1.447998,1.586013,1.518702,1.098927,45,45,45,0,0,45,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45,43,45,0,0,0,0,0,0,0,45,45,45,45,45,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-07
1675,8,12,2014,0.02965,0.049352,0.055406,0.069398,0.107423,0.12846,0.16088,0.165812,2.577753,1.274754,1.490201,1.45963,1.22429,1.012126,4,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-08
1676,12,12,2014,0.016227,0.03225,0.03542,0.043647,0.072651,0.085929,0.111393,0.105107,3.570485,1.346217,1.554973,1.600743,1.305084,1.330405,4,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,3,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-12
1677,14,12,2014,0.01456,0.034597,0.041655,0.057079,0.09198,0.108764,0.131596,0.136217,2.894648,1.430527,1.327057,1.528205,1.428981,0.905671,4,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-14
1678,15,12,2014,0.037583,0.051178,0.055013,0.062461,0.085642,0.100133,0.121057,0.127089,1.40254,0.832551,1.261978,1.04101,0.747318,0.93743,35,35,35,0,0,35,0,0,0,0,0,0,0,0,35,0,0,35,0,0,35,35,35,0,0,0,0,0,0,0,35,35,35,35,35,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-15
1679,16,12,2014,0.063518,0.080444,0.092342,0.119695,0.179398,0.213077,0.255644,0.275821,1.830646,1.076313,1.216717,1.211054,1.024978,0.903394,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,30,30,30,30,30,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-16
